Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF/10V(20%)","C_0603_1608Metric",111.887000,-53.099000,270.000000,top
"C2","22uF/10V(20%)","C_0603_1608Metric",110.998000,-60.071000,180.000000,top
"C3","4.7uF/6.3V(10%)","C_0402_1005Metric",110.518000,-56.896000,180.000000,top
"C4","0.1uF/50V(10%)(NC)","C_0402_1005Metric",122.936000,-72.898000,270.000000,top
"C5","0.1uF/50V(10%)","C_0402_1005Metric",110.490000,-55.753000,180.000000,top
"C6","0.1uF/50V(10%)","C_0402_1005Metric",117.094000,-59.817000,0.000000,top
"C7","22uF/10V(20%)","C_0603_1608Metric",111.887000,-49.670000,90.000000,top
"C8","0.1uF/50V(10%)","C_0402_1005Metric",110.490000,-58.039000,180.000000,top
"C9","0.1uF/50V(10%)(NC)","C_0402_1005Metric",112.776000,-72.926000,270.000000,top
"D1","LED","LED_0603_1608Metric",110.109000,-53.111500,90.000000,top
"D2","LESD5D5.0CT1G","LESD5D50CT1G",120.269000,-70.993000,90.000000,top
"D3","LESD5D5.0CT1G","LESD5D50CT1G",117.602000,-70.993000,90.000000,top
"D4","LESD5D5.0CT1G","LESD5D50CT1G",114.935000,-70.993000,90.000000,top
"D5","BAT760-7","SOD2513X120N",111.633000,-70.485000,0.000000,top
"D6","LED","LED_0603_1608Metric",119.761000,-60.553500,270.000000,top
"IC1","AMS1117-3.3","SOT229P700X180-4N",117.157500,-51.625500,0.000000,top
"IC2","CP2102N-A01-GQFN28","QFN50P500X500X80-29N-D",117.602000,-66.040000,270.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",117.602000,-76.581000,0.000000,top
"Q1","SS8050-G","SOT95P240X115-3N",125.349000,-54.864000,90.000000,top
"Q2","SS8050-G","SOT95P240X115-3N",125.349000,-60.960000,270.000000,top
"R1","2k(5%)","R_0402_1005Metric",110.363000,-49.782000,270.000000,top
"R2","0R(5%)","R_0402_1005Metric",122.428000,-67.691000,270.000000,top
"R3","0R(5%)","R_0402_1005Metric",123.571000,-67.693000,270.000000,top
"R4","10k(5%)","R_0402_1005Metric",124.206000,-64.264000,270.000000,top
"R5","10k(5%)","R_0402_1005Metric",121.793000,-59.309000,90.000000,top
"R6","22.1K(5%)","R_0402_1005Metric",112.397000,-65.405000,0.000000,top
"R7","10k(5%)(NC)","R_0402_1005Metric",114.425000,-59.817000,180.000000,top
"R8","47.5k(5%)","R_0402_1005Metric",112.393000,-64.262000,0.000000,top
"R9","2k(5%)","R_0402_1005Metric",112.395000,-66.675000,0.000000,top
"R10","10k(5%)(NC)","R_0402_1005Metric",112.397000,-68.072000,0.000000,top
"R11","2k(5%)","R_0402_1005Metric",122.428000,-64.264000,270.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P",124.841000,-76.581000,90.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P",110.617000,-76.708000,90.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",116.713000,-36.449000,0.000000,top
